CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,QUANTIZED_INC,QUANTIZED_AGE,QUANTIZED_WORK_YEAR,target
0,1,1,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-17915,-3366,1,0,0,0,Drivers,2.0,high,high,low,1
0,0,1,0,270000.0,Working,Higher education,Separated,House / apartment,-16142,-5527,1,0,0,0,Managers,1.0,highest,medium,low,0
0,1,1,3,202500.0,Working,Secondary / secondary special,Married,House / apartment,-16013,-4785,1,0,1,1,,5.0,high,medium,low,0
1,0,1,1,157500.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-13480,-1328,1,0,0,1,Sales staff,3.0,medium,low,lowest,0
1,1,1,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-24121,365243,1,0,0,0,,2.0,medium,highest,lowest,0
0,1,1,2,225000.0,Working,Secondary / secondary special,Married,House / apartment,-16221,-6903,1,1,1,0,Laborers,4.0,high,medium,medium,0
1,0,1,0,292500.0,Working,Secondary / secondary special,Married,House / apartment,-12379,-4453,1,0,0,1,Sales staff,2.0,highest,low,low,0
1,0,1,1,247500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-11380,-1540,1,0,0,1,Laborers,3.0,high,low,lowest,0
1,0,0,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-10437,-1596,1,0,0,0,Laborers,2.0,lowest,lowest,lowest,0
0,1,0,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-11270,-870,1,0,0,0,Laborers,2.0,high,low,lowest,0
1,1,0,2,81000.0,Working,Higher education,Married,House / apartment,-12358,-3017,1,1,0,0,Sales staff,4.0,lowest,low,lowest,0
0,0,0,0,265500.0,State servant,Higher education,Single / not married,With parents,-10361,-472,1,0,0,0,Core staff,1.0,highest,lowest,lowest,0
1,0,1,0,67500.0,State servant,Secondary / secondary special,Married,House / apartment,-19818,-11398,1,0,0,0,,2.0,lowest,high,high,1
